City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Ocampo,MX,21.65,-101.5,86.0,50,0,9.86,clear sky
150,San Cristobal,VE,7.7669,-72.225,89.6,55,40,5.75,scattered clouds
151,Vahan,AM,40.5755,45.3977,41.25,71,97,1.39,overcast clouds
152,Waipawa,NZ,-41.4122,175.5153,60.8,72,1,10.36,clear sky
153,Diamantino,BR,-14.4086,-56.4461,81.36,67,76,7.11,broken clouds
154,Pierre,US,44.3683,-100.351,43.0,75,90,6.91,overcast clouds
155,Tuatapere,NZ,-46.1333,167.6833,48.99,95,95,1.01,moderate rain
156,Balykshi,KZ,47.0667,51.8667,57.2,72,0,13.42,clear sky
157,Licheng,CN,23.2955,113.8284,77.0,94,90,6.71,light rain
158,Nikolskoye,RU,59.7035,30.7861,45.0,33,0,11.18,clear sky
159,Asau,RO,46.4333,26.4,41.0,46,81,2.35,broken clouds
160,Bredasdorp,ZA,-34.5322,20.0403,66.2,63,89,9.22,overcast clouds
161,Lasa,IT,46.6166,10.7002,48.2,64,75,6.91,broken clouds
162,Anadyr,RU,64.75,177.4833,15.8,79,100,8.95,snow
163,Makakilo City,US,21.3469,-158.0858,75.2,64,1,4.61,clear sky
164,Palmer,US,42.1584,-72.3287,50.0,93,90,5.75,moderate rain
165,Sembakung,ID,3.8167,117.25,73.8,95,95,1.36,overcast clouds
166,Saint George,US,37.1041,-113.5841,63.0,27,40,5.75,scattered clouds
167,Yakeshi,CN,49.2833,120.7333,27.73,95,100,16.96,snow
168,Puerto Narino,CO,-3.7703,-70.3831,87.8,62,20,3.44,few clouds
169,Georgetown,MY,5.4112,100.3354,82.4,83,20,2.3,few clouds
170,Kieta,PG,-6.2167,155.6333,79.3,85,96,2.68,light rain
171,Nome,US,64.5011,-165.4064,18.0,86,1,4.0,clear sky
172,West Bay,KY,19.3667,-81.4167,86.0,58,20,10.36,few clouds
173,Zyryanka,RU,65.75,150.85,3.92,97,100,1.66,overcast clouds
174,Nuuk,GL,64.1835,-51.7216,19.4,63,40,16.11,scattered clouds
175,Teluknaga,ID,-6.0989,106.6381,79.0,88,40,3.44,mist
176,Sobolevo,RU,54.4299,31.8996,51.3,81,100,11.63,moderate rain
