City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Andenes,NO,2021-04-13 19:28:03,69.3143,16.1194,33.8,80,75,21.85
122,Anito,PH,2021-04-13 19:28:03,12.4497,125.2886,77.52,89,75,3.94
123,Bulungu,CD,2021-04-13 19:28:03,-4.55,18.6,75.54,76,96,2.51
124,Provideniya,RU,2021-04-13 19:24:43,64.3833,-173.3,18.09,93,100,13.76
125,Marang,MY,2021-04-13 19:28:04,5.2056,103.2059,78.8,94,20,3.44
126,Constitucion,CL,2021-04-13 19:28:04,-35.3333,-72.4167,68.14,62,9,11.3
127,Troitskoye,RU,2021-04-13 19:28:04,52.9821,84.6757,33.49,84,100,8.3
128,Saint George,US,2021-04-13 19:24:13,37.1041,-113.5841,78.01,14,1,13.6
129,Kaitangata,NZ,2021-04-13 19:28:05,-46.2817,169.8464,52.07,93,100,8.52
130,Narsaq,GL,2021-04-13 19:28:05,60.9167,-46.05,46.4,39,1,9.22
131,Champasak,LA,2021-04-13 19:28:05,14.75,106.0,74.8,84,84,1.25
132,Lompoc,US,2021-04-13 19:28:06,34.6391,-120.4579,55.0,71,15,12.12
133,Sant Feliu De Guixols,ES,2021-04-13 19:28:06,41.7833,3.0333,55.99,71,0,2.3
134,Monywa,MM,2021-04-13 19:28:06,22.1167,95.1333,89.42,29,19,2.71
135,Istok,XK,2021-04-13 19:28:07,42.7808,20.4875,48.2,66,75,20.71
136,Atar,MR,2021-04-13 19:28:07,20.5169,-13.0499,91.29,10,100,11.43
137,George Town,MY,2021-04-13 19:27:29,5.4112,100.3354,79.0,88,20,2.3
138,Ouallam,NE,2021-04-13 19:28:07,14.3188,2.0866,94.5,5,0,12.01
139,Pahrump,US,2021-04-13 19:28:08,36.2083,-115.9839,77.0,17,0,8.01
140,Boende,CD,2021-04-13 19:28:08,-0.2167,20.8667,70.57,94,100,2.3
141,Tuktoyaktuk,CA,2021-04-13 19:23:58,69.4541,-133.0374,15.8,79,20,4.61
142,Kurilsk,RU,2021-04-13 19:28:09,45.2333,147.8833,41.65,92,100,25.14
143,Allapalli,IN,2021-04-13 19:28:09,19.4167,80.0667,89.85,25,95,7.16
144,Mahebourg,MU,2021-04-13 19:28:09,-20.4081,57.7,78.8,83,75,5.75
145,Qaqortoq,GL,2021-04-13 19:28:09,60.7167,-46.0333,46.4,39,1,9.22
146,Iqaluit,CA,2021-04-13 19:28:10,63.7506,-68.5145,21.2,73,90,23.02
147,Bahia Blanca,AR,2021-04-13 19:28:10,-38.7196,-62.2724,80.73,29,0,10.27
148,Eirunepe,BR,2021-04-13 19:28:11,-6.6603,-69.8736,84.31,76,39,4.0
149,Hasaki,JP,2021-04-13 19:24:29,35.7333,140.8333,62.6,94,75,10.36
150,Mantua,IT,2021-04-13 19:28:11,45.1667,10.7833,46.99,85,99,1.99
151,Garden City,US,2021-04-13 19:28:11,42.3256,-83.331,66.2,36,20,17.27
152,Tsabong,BW,2021-04-13 19:24:41,-26.0217,22.401,77.09,28,0,9.04
153,Melilla,ES,2021-04-13 19:25:12,35.2937,-2.9383,60.8,82,90,6.91
154,Mar Del Plata,AR,2021-04-13 19:23:51,-38.0023,-57.5575,78.8,41,0,5.75
155,La Orilla,MX,2021-04-13 19:25:04,17.9833,-102.2333,83.12,57,52,11.16
156,Chokurdakh,RU,2021-04-13 19:28:12,70.6333,147.9167,-13.02,97,15,5.84
157,Kalengwa,ZM,2021-04-13 19:28:12,-13.4659,25.0027,64.15,80,49,4.74
158,Puerto Ayora,EC,2021-04-13 19:28:13,-0.7393,-90.3518,82.4,74,75,13.8
159,Khapa,IN,2021-04-13 19:28:13,21.4333,78.9667,82.4,34,40,3.44
160,Jijiga,ET,2021-04-13 19:25:40,9.35,42.8,69.62,63,25,4.54
161,Tonota,BW,2021-04-13 19:28:13,-21.4833,27.4833,64.4,55,0,5.75
162,Giaveno,IT,2021-04-13 19:28:14,45.047,7.3492,51.8,37,0,3.44
163,Tessalit,ML,2021-04-13 19:28:14,20.1986,1.0114,95.67,7,89,6.53
164,Jinchang,CN,2021-04-13 19:28:14,38.4953,102.1739,42.08,56,6,5.59
165,Homer,US,2021-04-13 19:28:15,59.6425,-151.5483,39.99,75,75,6.78
166,Charters Towers,AU,2021-04-13 19:28:15,-20.1,146.2667,65.57,92,6,9.31
167,Oshikango,NA,2021-04-13 19:28:15,-17.4,15.8833,73.4,49,18,3.44
168,Borogontsy,RU,2021-04-13 19:28:16,62.6683,131.1683,-5.19,100,76,4.5
169,Barrow,US,2021-04-13 19:23:28,71.2906,-156.7887,-0.4,71,1,8.05
