City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Cabo San Lucas,MX,84.99,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
139,Victoria,HK,73.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
141,Cam Ranh,VN,80.6,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
145,Cidreira,BR,74.52,broken clouds,-30.1811,-50.2056,Hotel Castelo
153,Diamantino,BR,81.36,broken clouds,-14.4086,-56.4461,Hotel Delta
157,Licheng,CN,77.0,light rain,23.2955,113.8284,Xincheng Tourism Industry
163,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
169,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
170,Kieta,PG,79.3,light rain,-6.2167,155.6333,Uruna Bay Retreat
175,Teluknaga,ID,79.0,mist,-6.0989,106.6381,Bale Ocasa hotel
177,Dingle,PH,76.48,light rain,10.9995,122.6711,SEGAYA PROPERTY
178,Kikwit,CD,77.52,broken clouds,-5.041,18.8162,Guest L'Amour
184,Nanakuli,US,75.0,clear sky,21.3906,-158.1547,Camp Pālehua
200,Vila Velha,BR,82.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
208,Kavieng,PG,81.14,light rain,-2.5744,150.7967,Nusa Island Retreat
209,Abu Dhabi,AE,82.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
210,Faanui,PF,81.91,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
215,Gizo,SB,82.2,overcast clouds,-8.103,156.8419,Imagination Island
221,Kahului,US,75.2,light rain,20.8947,-156.47,Maui Seaside Hotel
222,Aden,YE,81.23,clear sky,12.7794,45.0367,Sama Emirate Hotel
225,Tura,IN,78.17,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
228,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
229,Mattru,SL,84.97,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
230,Gwadar,PK,81.37,scattered clouds,25.1216,62.3254,Sadaf Resort
231,Xai-Xai,MZ,71.51,clear sky,-25.0519,33.6442,Complexo da Familia
233,La Huacana,MX,82.4,clear sky,18.9667,-101.8167,Hotel Yunuen
237,Jaguarao,BR,71.01,moderate rain,-32.5661,-53.3758,Hotel Rio's
239,Jalu,LY,80.28,broken clouds,29.0331,21.5482,صاحبة الفخامة
240,Gazanjyk,TM,71.01,clear sky,39.2446,55.5154,Railway motel
251,San Luis,AR,79.88,clear sky,-33.295,-66.3356,Huarpes Hotel
252,Ambon,ID,80.78,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
256,Hoa Binh,VN,77.0,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
257,Mogadishu,SO,82.8,overcast clouds,2.0371,45.3438,Olympic Hotel
268,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
279,Payo,ID,72.32,overcast clouds,-3.7508,103.6372,Mess keban agung
280,San Patricio,US,75.2,light intensity drizzle,28.017,-97.5169,"Motel 6 Sinton, TX"
284,Ambilobe,MG,74.43,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
285,Pandan,PH,78.84,overcast clouds,14.0453,124.1694,Bonifacio Lodge
287,Bubaque,GW,77.81,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Buala,SB,79.48,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
295,Padang,ID,77.13,overcast clouds,-0.9492,100.3543,Mercure Padang
297,Biak,ID,74.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
299,Amuntai,ID,73.49,broken clouds,-2.4177,115.2494,Hotel Balqis
307,Vanimo,PG,76.66,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
308,Kanniyakumari,IN,82.98,overcast clouds,8.0833,77.5667,Sparsa
313,Sao Filipe,CV,73.65,clear sky,14.8961,-24.4956,Tortuga B&B
324,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
331,Meadow Lake,US,71.01,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
332,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
337,Kindia,GN,77.85,moderate rain,10.0569,-12.8658,LES EAUX DE KILISSI
338,Itacare,BR,84.2,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
339,Robertsport,LR,83.37,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
